Datasize,IdleTimeout,BacklogTimeout,ExecutionTime
20,15,10,65
20,10,7,63
20,14,9,55
20,11,8,61
20,18,15,56
20,18,20,73
20,8,9,65
20,13,14,67
20,8,10,69
20,7,9,61
100,15,10,72
100,10,7,67
100,14,9,66
100,11,8,61
100,18,15,67
100,18,20,79
100,8,9,78
100,13,14,75
100,8,10,83
100,7,9,78
200,15,10,74
200,10,7,62
200,14,9,64
200,11,8,62
200,18,15,68
200,18,20,68
200,8,9,72
200,13,14,63
200,8,10,75
200,7,9,72
500,15,10,75
500,10,7,70
500,14,9,74
500,11,8,74
500,18,15,69
500,18,20,74
500,8,9,83
500,13,14,71
500,8,10,102
500,7,9,82
